date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_2_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_8_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_196_raw,smart_197_raw,smart_199_raw
2019-01-13,PL1331LAGLXLRH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,451.0,7.0,0.0,0.0,42.0,41931.0,0.0,7.0,494.0,494.0,30.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLXM3H,HGST HMS5C4040BLE640,4000787030016,0,0.0,96.0,517.0,18.0,0.0,0.0,43.0,41876.0,0.0,18.0,460.0,460.0,24.0,0.0,0.0,0.0
2019-01-03,PL1331LAGLXM9H,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,566.0,14.0,0.0,0.0,42.0,41270.0,0.0,14.0,543.0,543.0,30.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXMMH,HGST HMS5C4040BLE640,4000787030016,0,0.0,110.0,459.0,5.0,0.0,0.0,42.0,40455.0,0.0,5.0,607.0,607.0,26.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXMRH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,460.0,8.0,0.0,0.0,43.0,41943.0,0.0,8.0,306.0,306.0,28.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXMSH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,448.0,8.0,0.0,0.0,43.0,41946.0,0.0,8.0,334.0,334.0,25.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXMTH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,452.0,5.0,0.0,0.0,42.0,40455.0,0.0,5.0,112.0,112.0,24.0,0.0,0.0,0.0
2019-01-06,PL1331LAGLXNPH,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,560.0,32.0,0.0,0.0,42.0,41894.0,0.0,32.0,729.0,729.0,24.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXNWH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,484.0,11.0,0.0,0.0,43.0,41415.0,0.0,11.0,520.0,520.0,33.0,0.0,0.0,0.0
2019-01-03,PL1331LAGLXP0H,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,554.0,14.0,0.0,0.0,42.0,41270.0,0.0,14.0,392.0,392.0,33.0,0.0,0.0,0.0
