date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_196_normalized,smart_197_normalized,smart_199_normalized
2019-01-14,PL1331LAGLX7EH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,130.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLX7WH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,141.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLX8TH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLX8XH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,136.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXA3H,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXA7H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,137.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,176.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXASH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXAXH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,222.0,100.0,100.0,200.0
2019-01-07,PL1331LAGLXBBH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,127.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,222.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXBTH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXD0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,136.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
