date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized
2019-12-31,ZA10XG7W,ST8000DM002,8001563222016,0,76.0,91.0,100.0,100.0,70.0,65.0,100.0,100.0,100.0,71.0,42.0,88.0,29.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG7Z,ST8000DM002,8001563222016,0,82.0,94.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,73.0,68.0,95.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG80,ST8000DM002,8001563222016,0,84.0,99.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,78.0,95.0,95.0,22.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG8E,ST8000DM002,8001563222016,0,83.0,85.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,69.0,68.0,89.0,31.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG8S,ST8000DM002,8001563222016,0,83.0,96.0,100.0,100.0,90.0,65.0,100.0,100.0,100.0,76.0,94.0,95.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG93,ST8000DM002,8001563222016,0,81.0,96.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,73.0,82.0,96.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG9G,ST8000DM002,8001563222016,0,82.0,87.0,100.0,100.0,90.0,65.0,100.0,100.0,100.0,76.0,70.0,95.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG9J,ST8000DM002,8001563222016,0,76.0,90.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,78.0,77.0,88.0,22.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XG9M,ST8000DM002,8001563222016,0,84.0,86.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,69.0,24.0,86.0,31.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGA2,ST8000DM002,8001563222016,0,80.0,99.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,77.0,11.0,86.0,23.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGA6,ST8000DM002,8001563222016,0,82.0,94.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,73.0,79.0,87.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGAN,ST8000DM002,8001563222016,0,82.0,86.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,70.0,90.0,88.0,30.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGAZ,ST8000DM002,8001563222016,0,67.0,96.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,75.0,93.0,95.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGB9,ST8000DM002,8001563222016,0,83.0,97.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,73.0,96.0,86.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGBC,ST8000DM002,8001563222016,0,82.0,86.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,70.0,1.0,85.0,30.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGBL,ST8000DM002,8001563222016,0,80.0,99.0,100.0,100.0,73.0,65.0,100.0,100.0,100.0,79.0,56.0,88.0,21.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGBP,ST8000DM002,8001563222016,0,81.0,87.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,71.0,86.0,86.0,29.0,1.0,100.0,100.0,200.0
