date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_10_normalized,smart_184_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2019-12-31,ZA174JW9,ST8000NM0055,8001563222016,0,82.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,74.0,95.0,96.0,26.0,82.0,100.0,100.0
2019-12-31,ZA174JWS,ST8000NM0055,8001563222016,0,82.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,63.0,96.0,94.0,37.0,82.0,100.0,100.0
2019-12-31,ZA174JWY,ST8000NM0055,8001563222016,0,78.0,99.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,66.0,89.0,95.0,34.0,78.0,100.0,100.0
2019-12-31,ZA174JXH,ST8000NM0055,8001563222016,0,80.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,71.0,93.0,96.0,29.0,80.0,100.0,100.0
2019-12-31,ZA174JY8,ST8000NM0055,8001563222016,0,82.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,62.0,91.0,96.0,38.0,82.0,100.0,100.0
2019-12-31,ZA174JZE,ST8000NM0055,8001563222016,0,78.0,89.0,99.0,100.0,94.0,92.0,100.0,100.0,100.0,68.0,45.0,99.0,32.0,78.0,100.0,100.0
2019-12-31,ZA174JZL,ST8000NM0055,8001563222016,0,81.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,63.0,78.0,94.0,37.0,81.0,100.0,100.0
2019-12-31,ZA174JZY,ST8000NM0055,8001563222016,0,78.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,62.0,1.0,95.0,38.0,78.0,100.0,100.0
2019-12-31,ZA174K05,ST8000NM0055,8001563222016,0,79.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,58.0,45.0,95.0,42.0,79.0,100.0,100.0
2019-12-31,ZA174K16,ST8000NM0055,8001563222016,0,80.0,92.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,67.0,95.0,96.0,33.0,80.0,100.0,100.0
2019-12-31,ZA174K1G,ST8000NM0055,8001563222016,0,82.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,66.0,86.0,94.0,34.0,82.0,100.0,100.0
2019-12-31,ZA174K1Z,ST8000NM0055,8001563222016,0,83.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,93.0,95.0,35.0,83.0,100.0,100.0
