date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2019-12-31,ZA139GMB,ST8000NM0055,8001563222016,0,189119248.0,3.0,0.0,1262510957.0,22610.0,3.0,0.0,0.0,0.0,40.0,17198.0,0.0,30549.0,40.0,189119248.0,0.0,0.0,0.0,22599.0,60587505480.0,157976333722.0
2019-12-31,ZA139GMG,ST8000NM0055,8001563222016,0,38882176.0,2.0,0.0,1751974466.0,22271.0,2.0,0.0,0.0,0.0,22.0,5042.0,0.0,25739.0,22.0,38882176.0,0.0,0.0,0.0,22229.0,56744088888.0,188223557698.0
2019-12-31,ZA139GMH,ST8000NM0055,8001563222016,0,106339680.0,5.0,0.0,1873590493.0,22601.0,5.0,0.0,0.0,0.0,34.0,8414.0,1.0,27151.0,34.0,106339680.0,0.0,0.0,0.0,22589.0,59260274912.0,170908094596.0
2019-12-31,ZA139GMN,ST8000NM0055,8001563222016,0,140426240.0,5.0,16.0,1407354821.0,22602.0,5.0,0.0,0.0,0.0,34.0,8954.0,2.0,30404.0,34.0,140426240.0,0.0,0.0,0.0,22589.0,58376013704.0,159297025284.0
2019-12-31,ZA139GN5,ST8000NM0055,8001563222016,0,61623120.0,4.0,0.0,1286486689.0,22263.0,4.0,0.0,0.0,0.0,32.0,113307.0,0.0,30340.0,32.0,61623120.0,0.0,0.0,0.0,22222.0,57998279784.0,152717857774.0
2019-12-31,ZA139GN6,ST8000NM0055,8001563222016,0,93703264.0,5.0,0.0,1307753190.0,22597.0,5.0,0.0,0.0,0.0,30.0,7901.0,2.0,27576.0,30.0,93703264.0,0.0,0.0,0.0,22585.0,59797595256.0,156827334196.0
2019-12-31,ZA139GNF,ST8000NM0055,8001563222016,0,147461360.0,3.0,0.0,1773626770.0,22612.0,3.0,0.0,0.0,0.0,38.0,11914.0,0.0,28626.0,38.0,147461360.0,0.0,0.0,0.0,22600.0,59175260784.0,163879924946.0
2019-12-31,ZA139GNG,ST8000NM0055,8001563222016,0,29264520.0,8.0,0.0,1529160485.0,22604.0,8.0,0.0,0.0,0.0,31.0,7045.0,0.0,31140.0,31.0,29264520.0,0.0,0.0,0.0,22592.0,57974897784.0,165845850714.0
2019-12-31,ZA139GNN,ST8000NM0055,8001563222016,0,101936184.0,7.0,0.0,1445589095.0,22604.0,7.0,0.0,0.0,0.0,37.0,13563.0,0.0,31142.0,37.0,101936184.0,0.0,0.0,0.0,22585.0,58839613152.0,160210751966.0
2019-12-31,ZA139GNT,ST8000NM0055,8001563222016,0,213120960.0,7.0,0.0,1340434309.0,22603.0,7.0,0.0,0.0,0.0,37.0,9195.0,0.0,33576.0,37.0,213120960.0,0.0,0.0,0.0,22582.0,59018675808.0,155708666582.0
2019-12-31,ZA139GPH,ST8000NM0055,8001563222016,0,165340704.0,8.0,0.0,1487010523.0,22607.0,8.0,0.0,0.0,0.0,32.0,9642.0,1.0,34112.0,32.0,165340704.0,0.0,0.0,0.0,22595.0,58655426208.0,173393142962.0
2019-12-31,ZA139GPJ,ST8000NM0055,8001563222016,0,206476216.0,5.0,0.0,1631568908.0,22599.0,5.0,0.0,0.0,0.0,29.0,12552.0,1.0,32549.0,29.0,206476216.0,0.0,0.0,0.0,22586.0,59326931864.0,157488519604.0
2019-12-31,ZA139GPY,ST8000NM0055,8001563222016,0,214299640.0,8.0,0.0,1243260913.0,22606.0,8.0,0.0,0.0,0.0,32.0,8127.0,0.0,31808.0,32.0,214299640.0,0.0,0.0,0.0,22594.0,58610335216.0,168666685322.0
2019-12-31,ZA139GQ7,ST8000NM0055,8001563222016,0,721584.0,4.0,0.0,1569030889.0,22263.0,4.0,0.0,0.0,0.0,31.0,35165.0,0.0,33195.0,31.0,721584.0,0.0,0.0,0.0,22221.0,58199674312.0,150502955134.0
2019-12-31,ZA139GQE,ST8000NM0055,8001563222016,0,149561552.0,7.0,0.0,1409684110.0,22611.0,7.0,0.0,0.0,1638453.0,22.0,13765.0,0.0,14297.0,22.0,149561552.0,0.0,0.0,141.0,22602.0,59511096648.0,157824151278.0
2019-12-31,ZA139GQG,ST8000NM0055,8001563222016,0,160064432.0,2.0,0.0,1347570161.0,22269.0,2.0,0.0,0.0,0.0,23.0,12770.0,0.0,31612.0,23.0,160064432.0,0.0,0.0,0.0,22227.0,57872478360.0,151287197738.0
2019-12-31,ZA139GQY,ST8000NM0055,8001563222016,0,51319440.0,7.0,0.0,1329569288.0,22597.0,7.0,0.0,0.0,0.0,21.0,6279.0,0.0,32175.0,21.0,51319440.0,0.0,0.0,0.0,22585.0,58939378656.0,161199287662.0
2019-12-31,ZA139GR1,ST8000NM0055,8001563222016,0,21987288.0,5.0,0.0,1526063590.0,22602.0,5.0,0.0,0.0,0.0,34.0,6305.0,1.0,31818.0,34.0,21987288.0,0.0,0.0,0.0,22589.0,58707776512.0,172472578276.0
2019-12-31,ZA139GRN,ST8000NM0055,8001563222016,0,127712024.0,8.0,0.0,1405369063.0,22605.0,8.0,0.0,0.0,0.0,33.0,6523.0,1.0,31800.0,33.0,127712024.0,0.0,0.0,0.0,22593.0,58697057096.0,158140087010.0
2019-12-31,ZA139GRY,ST8000NM0055,8001563222016,0,221542912.0,7.0,0.0,1896271748.0,22600.0,7.0,0.0,0.0,0.0,34.0,7353.0,1.0,28906.0,34.0,221542912.0,0.0,0.0,0.0,22581.0,58314079288.0,159378834670.0
2019-12-31,ZA139GS9,ST8000NM0055,8001563222016,0,227414592.0,5.0,0.0,1424502648.0,22597.0,5.0,0.0,0.0,0.0,31.0,8198.0,1.0,29786.0,31.0,227414592.0,0.0,0.0,0.0,22585.0,59785499792.0,159165688910.0
2019-12-31,ZA139GSA,ST8000NM0055,8001563222016,0,17907448.0,7.0,0.0,1393462685.0,22604.0,7.0,0.0,0.0,0.0,38.0,9954.0,0.0,32767.0,38.0,17907448.0,0.0,0.0,0.0,22581.0,58724826344.0,162269532672.0
